name,brand,review_title,review_description,recommended_review,verifed_purchaser,helpful_count,not_helpful_count,reviewed_at,rating,average_rating,reviews_count
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi switch game,Yoshi game was awesome and still playing it thank u sooo much GameStop :)),No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Awesome game if you like the Mario brothers games.,Great game. You will enjoy it. Good price worth it I Always have enjoyed the super Mario series since Mario brothers in the arcade,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Awsome game...,"My son loves to play this game, he's been playing it every day since he got it... Great Job!!!",No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Awesome Game for Children!,The game is great for a family and younger children. My 4 year old wnjoys the game.,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Poochy,It would be better if Poochy was in all of the levels.,No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Not bad,"It's cute and fun, but feels a little lacking in fulfilling its potential.",No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,4.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Opinion on Yoshi Crafted World,Good game including game play and music also music,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Another Win-tendo Jewel!!,"The quirky style that shined in Yoshi’s Wooly World has gotten a serious upgrade in this new gem from Nintendo.  Like all it’s first-party titles, this game is nearly flawless.
The “crafted world” is exceptionally detailed, with cardboard cutouts, Pinterest worth constructions, and vibrant colors that pop on everything from the tiny Switch screen to a 70” flatscreen TV.
The gameplay is tight, with seamless reaction times and plenty of opportunities to save yourself from mistakes.  Easy enough for kids to pick up, but easily enjoyed by gamers of all ages
Most importantly, this game is fun!",No: I don’t recommend this product,Verified Purchaser,1,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Good game,She loves it good game. It easy to play and addicting.,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Best Nintendo game I ever played!,Yoshi‘s crafted world is the best Nintendo game I ever played since Yoshi‘s woolly world! Lots of hard challenges to complete and it’s so much fun! I love this game!,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,Yoshi party,Tons of fun to play with my kids! They love the look and ease of play!,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
Yoshi's Crafted World - Nintendo Switch,Nintendo,BUY IT,Awsome title. Loads of fun! My kids and I love it!,No: I don’t recommend this product,Verified Purchaser,0,0,2 years ago,5.0,4.6556,2390
